latency,duration,type,marker_value,key,timestamp,marker_id
8.420951,0.000000,wink_right,7,7,1645585384.689902,1
15.563586,0.000000,wink_right,7,7,1645585391.832537,2
21.900740,0.000000,wink_right,7,7,1645585398.169691,3
28.430278,0.000000,wink_right,7,7,1645585404.699229,4
34.662388,0.000000,wink_right,7,7,1645585410.931339,5
41.397262,0.000000,wink_right,7,7,1645585417.666213,6
48.004089,0.000000,wink_right,7,7,1645585424.273040,7
54.319145,0.000000,wink_right,7,7,1645585430.588096,8
61.373097,0.000000,wink_right,7,7,1645585437.642048,9
68.414156,0.000000,wink_right,7,7,1645585444.683107,10
75.855256,0.000000,wink_right,7,7,1645585452.124207,11
83.452384,0.000000,wink_right,7,7,1645585459.721335,12
89.397105,0.000000,invalid,1,1,1645585465.666056,13
93.755404,0.000000,invalid,1,1,1645585470.024355,14
99.194614,0.000000,wink_right,7,7,1645585475.463565,15
105.217730,0.000000,wink_right,7,7,1645585481.486681,16
115.637414,0.000000,wink_right,7,7,1645585491.906365,17
129.017597,0.000000,wink_right,7,7,1645585505.286548,18
135.109633,0.000000,wink_right,7,7,1645585511.378584,19
141.712241,0.000000,wink_right,7,7,1645585517.981192,20
147.993147,0.000000,wink_right,7,7,1645585524.262098,21
153.967988,0.000000,wink_right,7,7,1645585530.236939,22
159.903357,0.000000,wink_right,7,7,1645585536.172308,23
165.962276,0.000000,wink_right,7,7,1645585542.231227,24
172.196473,0.000000,wink_right,7,7,1645585548.465424,25
178.507726,0.000000,wink_right,7,7,1645585554.776677,26
184.278777,0.000000,wink_right,7,7,1645585560.547728,27
186.549380,0.000000,invalid,1,1,1645585562.818331,28
196.284494,0.000000,wink_right,7,7,1645585572.553445,29
202.821948,0.000000,wink_right,7,7,1645585579.090899,30
210.096207,0.000000,wink_right,7,7,1645585586.365158,31
219.575619,0.000000,wink_right,7,7,1645585595.844570,32
226.193188,0.000000,wink_right,7,7,1645585602.462139,33
232.569573,0.000000,wink_right,7,7,1645585608.838524,34
239.735965,0.000000,wink_right,7,7,1645585616.004916,35
245.583741,0.000000,wink_right,7,7,1645585621.852692,36
252.597894,0.000000,wink_right,7,7,1645585628.866845,37
260.122798,0.000000,wink_right,7,7,1645585636.391749,38
266.383350,0.000000,wink_right,7,7,1645585642.652301,39
272.677495,0.000000,wink_right,7,7,1645585648.946446,40
279.297799,0.000000,wink_right,7,7,1645585655.566750,41
287.592781,0.000000,invalid,1,1,1645585663.861732,42
295.708053,0.000000,wink_right,7,7,1645585671.977004,43
302.605220,0.000000,wink_right,7,7,1645585678.874171,44
312.355506,0.000000,wink_right,7,7,1645585688.624457,45
319.059799,0.000000,wink_right,7,7,1645585695.328750,46
325.046518,0.000000,wink_right,7,7,1645585701.315469,47
336.960431,0.000000,wink_right,7,7,1645585713.229382,48
343.985894,0.000000,wink_right,7,7,1645585720.254845,49
350.453586,0.000000,wink_right,7,7,1645585726.722537,50
356.342672,0.000000,wink_right,7,7,1645585732.611623,51
362.767313,0.000000,wink_right,7,7,1645585739.036264,52
377.593087,0.000000,wink_right,7,7,1645585753.862038,53
383.171675,0.000000,wink_right,7,7,1645585759.440626,54
388.832000,0.000000,wink_right,7,7,1645585765.100951,55
395.068716,0.000000,wink_right,7,7,1645585771.337667,56
401.393121,0.000000,wink_right,7,7,1645585777.662072,57
407.444993,0.000000,wink_right,7,7,1645585783.713944,58
413.016804,0.000000,invalid,1,1,1645585789.285755,59
421.750749,0.000000,wink_right,7,7,1645585798.019700,60
427.093042,0.000000,wink_right,7,7,1645585803.361993,61
431.871807,0.000000,wink_right,7,7,1645585808.140758,62
437.428386,0.000000,wink_right,7,7,1645585813.697337,63
443.146858,0.000000,wink_right,7,7,1645585819.415809,64
460.191852,0.000000,wink_right,7,7,1645585836.460803,65
466.406771,0.000000,wink_right,7,7,1645585842.675722,66
471.547219,0.000000,wink_right,7,7,1645585847.816170,67
477.016392,0.000000,wink_right,7,7,1645585853.285343,68
483.079397,0.000000,wink_right,7,7,1645585859.348348,69
488.700762,0.000000,wink_right,7,7,1645585864.969713,70
494.530343,0.000000,wink_right,7,7,1645585870.799294,71
500.855187,0.000000,wink_right,7,7,1645585877.124138,72
