latency,duration,type,marker_value,key,timestamp,marker_id
6.109448,0.000000,invalid,1,1,1645582652.279311,1
6.827945,0.000000,invalid,1,1,1645582652.997808,2
7.454102,0.000000,invalid,1,1,1645582653.623965,3
8.088285,0.000000,invalid,1,1,1645582654.258148,4
18.018513,0.000000,triple_blink,4,4,1645582664.188376,5
25.215829,0.000000,triple_blink,4,4,1645582671.385692,6
39.837565,0.000000,triple_blink,4,4,1645582686.007428,7
65.151899,0.000000,triple_blink,4,4,1645582711.321762,8
89.196603,0.000000,triple_blink,4,4,1645582735.366466,9
93.121367,0.000000,invalid,1,1,1645582739.291230,10
115.671278,0.000000,triple_blink,4,4,1645582761.841141,11
153.515981,0.000000,triple_blink,4,4,1645582799.685844,12
170.369555,0.000000,triple_blink,4,4,1645582816.539418,13
176.803387,0.000000,triple_blink,4,4,1645582822.973250,14
183.201376,0.000000,triple_blink,4,4,1645582829.371239,15
193.085079,0.000000,triple_blink,4,4,1645582839.254942,16
200.398455,0.000000,triple_blink,4,4,1645582846.568318,17
207.834347,0.000000,triple_blink,4,4,1645582854.004210,18
216.205777,0.000000,triple_blink,4,4,1645582862.375640,19
236.962517,0.000000,triple_blink,4,4,1645582883.132380,20
244.393634,0.000000,triple_blink,4,4,1645582890.563497,21
257.739755,0.000000,triple_blink,4,4,1645582903.909618,22
264.760908,0.000000,triple_blink,4,4,1645582910.930771,23
272.577751,0.000000,triple_blink,4,4,1645582918.747614,24
279.735434,0.000000,triple_blink,4,4,1645582925.905297,25
286.793808,0.000000,triple_blink,4,4,1645582932.963671,26
290.262921,0.000000,invalid,1,1,1645582936.432784,27
314.227584,0.000000,triple_blink,4,4,1645582960.397447,28
322.853979,0.000000,triple_blink,4,4,1645582969.023842,29
328.807064,0.000000,triple_blink,4,4,1645582974.976927,30
336.238663,0.000000,triple_blink,4,4,1645582982.408526,31
343.773744,0.000000,triple_blink,4,4,1645582989.943607,32
351.387567,0.000000,triple_blink,4,4,1645582997.557430,33
359.096719,0.000000,triple_blink,4,4,1645583005.266582,34
366.227228,0.000000,triple_blink,4,4,1645583012.397091,35
373.917725,0.000000,triple_blink,4,4,1645583020.087588,36
392.678105,0.000000,triple_blink,4,4,1645583038.847968,37
400.624224,0.000000,triple_blink,4,4,1645583046.794087,38
409.485022,0.000000,triple_blink,4,4,1645583055.654885,39
417.252852,0.000000,triple_blink,4,4,1645583063.422715,40
424.300761,0.000000,triple_blink,4,4,1645583070.470624,41
431.477758,0.000000,triple_blink,4,4,1645583077.647621,42
438.687275,0.000000,triple_blink,4,4,1645583084.857138,43
447.145233,0.000000,triple_blink,4,4,1645583093.315096,44
454.673191,0.000000,triple_blink,4,4,1645583100.843054,45
462.126071,0.000000,triple_blink,4,4,1645583108.295934,46
468.237549,0.000000,triple_blink,4,4,1645583114.407412,47
475.939193,0.000000,triple_blink,4,4,1645583122.109056,48
484.870800,0.000000,triple_blink,4,4,1645583131.040663,49
493.454312,0.000000,triple_blink,4,4,1645583139.624175,50
500.747493,0.000000,triple_blink,4,4,1645583146.917356,51
509.019715,0.000000,triple_blink,4,4,1645583155.189578,52
516.399972,0.000000,triple_blink,4,4,1645583162.569835,53
524.038484,0.000000,triple_blink,4,4,1645583170.208347,54
530.584842,0.000000,triple_blink,4,4,1645583176.754705,55
537.738932,0.000000,triple_blink,4,4,1645583183.908795,56
544.478260,0.000000,triple_blink,4,4,1645583190.648123,57
551.088552,0.000000,triple_blink,4,4,1645583197.258415,58
558.056335,0.000000,triple_blink,4,4,1645583204.226198,59
565.374390,0.000000,triple_blink,4,4,1645583211.544253,60
572.679328,0.000000,triple_blink,4,4,1645583218.849191,61
580.215505,0.000000,triple_blink,4,4,1645583226.385368,62
590.153193,0.000000,triple_blink,4,4,1645583236.323056,63
596.809220,0.000000,triple_blink,4,4,1645583242.979083,64
604.809650,0.000000,triple_blink,4,4,1645583250.979513,65
615.849719,0.000000,triple_blink,4,4,1645583262.019582,66
623.179411,0.000000,triple_blink,4,4,1645583269.349274,67
630.504327,0.000000,triple_blink,4,4,1645583276.674190,68
660.899230,0.000000,triple_blink,4,4,1645583307.069093,69
667.022754,0.000000,triple_blink,4,4,1645583313.192617,70
673.574468,0.000000,triple_blink,4,4,1645583319.744331,71
680.481226,0.000000,triple_blink,4,4,1645583326.651089,72
686.825775,0.000000,triple_blink,4,4,1645583332.995638,73
692.779660,0.000000,triple_blink,4,4,1645583338.949523,74
700.229649,0.000000,triple_blink,4,4,1645583346.399512,75
706.871930,0.000000,triple_blink,4,4,1645583353.041793,76
720.882615,0.000000,triple_blink,4,4,1645583367.052478,77
727.753995,0.000000,triple_blink,4,4,1645583373.923858,78
734.680622,0.000000,triple_blink,4,4,1645583380.850485,79
741.937412,0.000000,triple_blink,4,4,1645583388.107275,80
